english,target,article
Could you open the window?,Könnten Sie das Fenster öffnen?,
Do you have a map of the city?,Haben Sie einen Stadtplan?,
Can I take a picture here?,Darf ich hier fotografieren?,
Is the museum open today?,Ist das Museum heute geöffnet?,
How long is the waiting time?,Wie lang ist die Wartezeit?,
I have a question about my bill.,Ich habe eine Frage zu meiner Rechnung.,
The service was excellent.,Der Service war ausgezeichnet.,
I'd like to leave a review.,Ich möchte eine Bewertung hinterlassen.,
That's not what I ordered.,Das habe ich nicht bestellt.,
My order hasn't arrived yet.,Meine Bestellung ist noch nicht angekommen.,
Can I speak to the manager?,Kann ich mit dem Manager sprechen?,
I'd like a refund.,Ich möchte eine Rückerstattung.,
The product is defective.,Das Produkt ist defekt.,
I'm a regular customer.,Ich bin Stammkunde.,
Do you offer a student discount?,Bieten Sie einen Studentenrabatt an?,
Is there a loyalty card?,Gibt es eine Kundenkarte?,
I have a voucher.,Ich habe einen Gutschein.,
coupon / voucher,Gutschein,der
loyalty card,Kundenkarte,die
special deal,Sonderangebot,das
clearance sale,Räumungsverkauf,der
second-hand,gebraucht / Second-Hand,
brand new,brandneu,
out of stock,ausverkauft,
in stock,auf Lager,
available,verfügbar,
unavailable,nicht verfügbar,
delivery,Lieferung,die
shipping,Versand,der
express delivery,Expresslieferung,die
free shipping,kostenloser Versand,der
tracking number,Sendungsnummer,die
return policy,Rückgabebedingungen,die
I'm looking forward to it.,Ich freue mich darauf.,
See you next time!,Bis zum nächsten Mal!,
It was a pleasure.,Es war mir ein Vergnügen.,
