"english","target","hint","explanation","level"
"I feel sick when I read in the car.","Mir wird übel, wenn ich im Auto lese.","Dative sensation: mir wird ...","Mondatváza:
`Pozíció 1 + wird (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wird”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „werden” itt állapotváltozást fejez ki: „rosszul leszek”; az érintett személy Dativban áll.

Gyors igeelemzés:
Ragozott ige: „wird” (werden); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I am hot even though the window is open.","Mir ist heiß, obwohl das Fenster offen ist.","Dative feeling phrase: mir ist ...","Mondatváza:
`Pozíció 1 + ist (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A személy Dativban áll, az állapot pedig állítmányi melléknév: „melegem van”.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"It hurts me when you talk about me like that.","Das tut mir weh, wenn du so über mich sprichst.","weh tun takes a dative person.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A „weh tun” szerkezetben annak a személye, akinek fáj, Dativban áll.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"It hurts to step on a sore foot.","Es tut weh, auf einen wunden Fuß zu treten.","Impersonal es + weh tun.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"It only takes five minutes to make the coffee.","Es dauert nur fünf Minuten, den Kaffee zu machen.","Impersonal es expresses duration.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"Suddenly there is a bang and everyone looks at the door.","Plötzlich knallt es, und alle schauen zur Tür.","Dummy es for an impersonal sound.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Plötzlich …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
"It smells of fresh bread here.","Es riecht hier nach frischem Brot.","riechen nach takes dative.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
A „riechen nach” állandó vonzat: nach + Dativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"How do you say that in German?","Wie sagt man das auf Deutsch?","man means people in general.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
„auf Deutsch” rögzült nyelvi kifejezés: németül. A „man” általános alany („az ember/az emberek”), és mindig egyes szám harmadik személyű igét kap.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"Can you give me the key, please?","Kannst du mir bitte den Schlüssel geben?","Dative recipient before accusative object.","Mondatváza:
`Pozíció 1 + Kannst (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Kannst”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
Két tárgynál a névmási Dativ („mir”) rendszerint megelőzi a főnévi Akkusativ tárgyat („den Schlüssel”).

Gyors igeelemzés:
Ragozott ige: „Kannst” (können); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I will bring your book back to you tomorrow.","Ich bringe dir morgen dein Buch zurück.","dir is the informal singular dative.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A Dativ névmás („dir”) rendszerint a főnévi Akkusativ tárgy („dein Buch”) előtt áll.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"The doctor recommended a week of rest to him.","Die Ärztin hat ihm eine Woche Ruhe empfohlen.","ihm is masculine dative.","Mondatváza:
`Pozíció 1 + hat (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („hat”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
Az „empfehlen” címzettje Dativ („ihm”), a javasolt dolog Akkusativ („eine Woche Ruhe”).

Gyors igeelemzés:
Ragozott ige: „hat” (haben); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I gave her a plant for her birthday.","Ich habe ihr zum Geburtstag eine Pflanze geschenkt.","ihr is feminine dative.","Mondatváza:
`Pozíció 1 + habe (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („habe”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A megajándékozott személy Dativ („ihr”), az ajándék Akkusativ („eine Pflanze”). Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
Ragozott ige: „habe” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"The waiter will bring us the bill in a moment.","Der Kellner bringt uns gleich die Rechnung.","uns is first-person plural dative.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A Dativ névmás („uns”) megelőzi a főnévi Akkusativ tárgyat („die Rechnung”).

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I will show you the photos later.","Ich zeige euch später die Fotos.","euch is informal plural dative.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A Dativ névmás („euch”) megelőzi a főnévi Akkusativ tárgyat („die Fotos”).

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"We explained the way to the station to them.","Wir haben ihnen den Weg zum Bahnhof erklärt.","ihnen is plural dative.","Mondatváza:
`Pozíció 1 + haben (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („haben”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A Dativ névmás („ihnen”) megelőzi a főnévi Akkusativ tárgyat („den Weg”).

Gyors igeelemzés:
Ragozott ige: „haben” (haben); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Can I bring you anything else?","Kann ich Ihnen noch etwas bringen?","Ihnen is formal dative and capitalized.","Mondatváza:
`Pozíció 1 + Kann (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („Kann”) pedig a második mondatrészben. A személyt jelölő Dativ névmás rövid és ismert információ, ezért természetes sorrendben a hosszabb, főnévi Akkusativ tárgy előtt áll.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
Az udvarias „Ihnen” Dativ és mindig nagybetűs; az „etwas” a közvetlen tárgy.

Gyors igeelemzés:
Ragozott ige: „Kann” (können); hozzávetőleges helye: 1. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You can always find a good café in this city.","In dieser Stadt findet man immer ein gutes Café.","man always takes third-person singular.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A „man” általános alany („az ember/az emberek”), és mindig egyes szám harmadik személyű igét kap.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I forgot my key this morning.","Ich hab heute Morgen meinen Schlüssel vergessen.","Spoken German often drops final -e.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I will let you know as soon as I know more.","Ich sag dir Bescheid, sobald ich mehr weiß.","Spoken first person often drops final -e.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I have been looking for my phone for an hour.","Ich such seit einer Stunde mein Handy.","Spoken first person often drops final -e.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „seit” mindig Dativot vonz, és a múltban kezdődött, jelenben is tartó időtartamot jelöl.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I often think about our last holiday.","Ich denk oft an unseren letzten Urlaub.","Spoken first person often drops final -e.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „denken an” vonzata an + Akkusativ.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"I am just checking whether the door is closed.","Ich guck nur kurz, ob die Tür zu ist.","Colloquial gucken; final -e is dropped.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 9. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Try it again tomorrow.","Versuch's morgen noch einmal.","Contraction: verb + es becomes -'s.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
Az -'s az „es” összevonása az előtte álló igével; beszélt nyelvi, de nagyon gyakori.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"Do it now before you forget it again.","Mach's jetzt, bevor du es wieder vergisst.","Contraction: mach es becomes mach's.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
Az -'s az „es” összevonása az előtte álló igével; beszélt nyelvi, de nagyon gyakori.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
"Okay, I understand, so you do not have to shout.","Okay, ich hab's begriffen, also musst du nicht schreien.","Colloquial habe es becomes hab's.","Mondatváza:
`Pozíció 1 + musst (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („musst”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
Beszélt nyelvben az „ich habe” végéről gyakran elmarad az -e: „ich hab”. Az -'s az „es” összevonása az előtte álló igével; beszélt nyelvi, de nagyon gyakori.

Gyors igeelemzés:
Ragozott ige: „musst” (müssen); hozzávetőleges helye: 6. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I do not understand it, although you explained it twice.","Ich versteh's nicht, obwohl du es zweimal erklärt hast.","Colloquial verstehe es becomes versteh's.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
Az -'s az „es” összevonása az előtte álló igével; beszélt nyelvi, de nagyon gyakori.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
"Do not worry, they will not find out from me.","Keine Sorge, sie erfahren's nicht von mir.","Colloquial erfahren es becomes erfahren's.","Mondatváza:
`Pozíció 1 + ragozott ige (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket. A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
Az -'s az „es” összevonása az előtte álló igével; beszélt nyelvi, de nagyon gyakori.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","B1"
"Sometimes it is wiser simply to keep your mouth shut.","Manchmal ist es klüger, einfach die Klappe zu halten.","Fixed colloquial expression.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Manchmal …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
„die Klappe halten” bizalmas, nyers kifejezés: befogni a száját; a „zu halten” infinitíves szerkezet.

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","B1"
"I do not care about anything as long as I can sleep late tomorrow.","Mir ist alles egal, solange ich morgen ausschlafen kann.","Dative expression: mir ist ... egal.","Mondatváza:
`Pozíció 1 + ist (V2) + középmező; mellékmondatban az ige a végére kerül`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („ist”) pedig a második mondatrészben. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik. A mondat beszélt nyelvi; a szórend alapvetően szabályos, de rövidülés, összevonás vagy idiomatikus fordulat teszi természetessé.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
Az „jemandem ist etwas egal” szerkezetben a személy Dativ („mir”), a közömbös dolog alany („alles”).

Gyors igeelemzés:
Ragozott ige: „ist” (sein); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
